action,destination,destination_liquid,destination_liquid_after,destination_liquid_before,destination_volume_ul,final_destination_volume_ul,flow_rate_ul_s,liquid,location,location_total_volume_ul,message,mix_repetitions,mix_volume_ul,mode,num_samples,pipette,position,rep,sample_index,sample_source,sample_volume_ul,source,source_remaining_ul,status,step,timestamp,total_reps,volume_ul,water_source,water_volume_ul,x_mm,y_mm,z_mm,z_offset_mm
DROP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,69,2026-04-27T15:36:37,,,,,,,,
SAMPLE_COMPLETE,B4,mixture(sample_4+water),,,,100.0,,,,,,,,,,,,,4,,,,,,70,2026-04-27T15:36:37,,,,,,,,
SAMPLE_START,B5,,,,,,,,,,,,,,,,,,5,A5,,,,,71,2026-04-27T15:36:37,,,C5,,,,,
PICK_UP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,72,2026-04-27T15:36:37,,,,,,,,
MOVE_TO,,,,,,,,,A5,,,,,,,,,,,,,,,,73,2026-04-27T15:36:37,,,,,46.0,10.0,6.0,1.0
ASPIRATE,,,,,,,5.0,sample_5,,,,,,,,,,,,,,A5,40.0,,74,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,B5,,,,,,,,,,,,,,,,75,2026-04-27T15:36:37,,,,,46.0,19.0,6.0,1.0
DISPENSE,B5,,sample_5,empty,10.0,,5.0,,,,,,,,,,,,,,,,,,76,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,C5,,,,,,,,,,,,,,,,77,2026-04-27T15:36:37,,,,,46.0,28.0,6.0,1.0
ASPIRATE,,,,,,,5.0,water,,,,,,,,,,,,,,C5,110.0,,78,2026-04-27T15:36:37,,90.0,,,,,,
MOVE_TO,,,,,,,,,B5,,,,,,,,,,,,,,,,79,2026-04-27T15:36:37,,,,,46.0,19.0,6.0,1.0
DISPENSE,B5,,mixture(sample_5+water),sample_5,100.0,,5.0,,,,,,,,,,,,,,,,,,80,2026-04-27T15:36:37,,90.0,,,,,,
MIX_CYCLE,,,,,,,,,B5,100.0,,,60.0,,,,,1,,,,,,,81,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B5,100.0,,,60.0,,,,,2,,,,,,,82,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B5,100.0,,,60.0,,,,,3,,,,,,,83,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B5,100.0,,,60.0,,,,,4,,,,,,,84,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B5,100.0,,,60.0,,,,,5,,,,,,,85,2026-04-27T15:36:37,5,,,,,,,
DROP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,86,2026-04-27T15:36:37,,,,,,,,
SAMPLE_COMPLETE,B5,mixture(sample_5+water),,,,100.0,,,,,,,,,,,,,5,,,,,,87,2026-04-27T15:36:37,,,,,,,,
SAMPLE_START,B6,,,,,,,,,,,,,,,,,,6,A6,,,,,88,2026-04-27T15:36:37,,,C6,,,,,
PICK_UP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,89,2026-04-27T15:36:37,,,,,,,,
MOVE_TO,,,,,,,,,A6,,,,,,,,,,,,,,,,90,2026-04-27T15:36:37,,,,,55.0,10.0,6.0,1.0
ASPIRATE,,,,,,,5.0,sample_6,,,,,,,,,,,,,,A6,40.0,,91,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,B6,,,,,,,,,,,,,,,,92,2026-04-27T15:36:37,,,,,55.0,19.0,6.0,1.0
DISPENSE,B6,,sample_6,empty,10.0,,5.0,,,,,,,,,,,,,,,,,,93,2026-04-27T15:36:37,,10.0,,,,,,
MOVE_TO,,,,,,,,,C6,,,,,,,,,,,,,,,,94,2026-04-27T15:36:37,,,,,55.0,28.0,6.0,1.0
ASPIRATE,,,,,,,5.0,water,,,,,,,,,,,,,,C6,110.0,,95,2026-04-27T15:36:37,,90.0,,,,,,
MOVE_TO,,,,,,,,,B6,,,,,,,,,,,,,,,,96,2026-04-27T15:36:37,,,,,55.0,19.0,6.0,1.0
DISPENSE,B6,,mixture(sample_6+water),sample_6,100.0,,5.0,,,,,,,,,,,,,,,,,,97,2026-04-27T15:36:37,,90.0,,,,,,
MIX_CYCLE,,,,,,,,,B6,100.0,,,60.0,,,,,1,,,,,,,98,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B6,100.0,,,60.0,,,,,2,,,,,,,99,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B6,100.0,,,60.0,,,,,3,,,,,,,100,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B6,100.0,,,60.0,,,,,4,,,,,,,101,2026-04-27T15:36:37,5,,,,,,,
MIX_CYCLE,,,,,,,,,B6,100.0,,,60.0,,,,,5,,,,,,,102,2026-04-27T15:36:37,5,,,,,,,
DROP_TIP,,,,,,,,,,,,,,,,p300_single_gen2,,,,,,,,,103,2026-04-27T15:36:37,,,,,,,,
SAMPLE_COMPLETE,B6,mixture(sample_6+water),,,,100.0,,,,,,,,,,,,,6,,,,,,104,2026-04-27T15:36:37,,,,,,,,
HOME,,,,,,,,,,,,,,,,,home,,,,,,,,105,2026-04-27T15:36:37,,,,,,,,
SIMULATION_COMPLETE,,,,,,,,,,,Completed simulated 6-sample dilution workflow.,,,,,,,,,,,,,success,106,2026-04-27T15:36:37,,,,,,,,
